,Month,Hour,WBT,RH,DBT,SR_N,SR_S,SR_E,SR_W,SR_NE,SR_SE,SR_NW,SR_SW,SRP_N,SRP_S,SRP_E,SRP_W,SRP_NE,SRP_SE,SRP_NW,SRP_SW,SR_REC,SPT_BCMi,SPT_FwoKMi,SPT_FwKMi,SPT_SCMi,SPT_BC,SPT_FwoK,SPT_FwK,SPT_SC,SPT_BCMa,SPT_FwoKMa,SPT_FwKMa,SPT_SCMa,ToDP,SP_l250,SP_g250
0,1,0,-3.0,87.92500000000001,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,1.63,10.87,10.87
1,1,1,-3.0,88.46,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,1.63,10.87,10.87
2,1,2,-4.0,88.25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,1.63,10.87,10.87
3,1,3,-4.0,88.44,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,1.63,10.87,10.87
4,1,4,-4.0,88.505,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,1.63,10.87,10.87
5,1,5,-4.0,88.535,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,1.63,10.87,10.87
6,1,6,-4.0,88.075,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,1.63,10.87,10.87
7,1,7,-4.0,85.58000000000001,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,1.63,10.87,10.87
8,1,8,-4.0,82.045,0.0,0.0,122.455,177.24,0.0,41.73,216.005,0.0,0.0,0.0,14.096350869114769,20.40290088638195,0.0,4.803729711062507,24.86531598940946,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,8.54,10.87,10.87
9,1,9,-3.0,78.14,0.0,0.0,279.315,271.89,0.0,0.0,390.55999999999995,0.0,0.0,0.0,32.1532174513641,31.29849199953954,0.0,0.0,44.95913433866697,0.0,0.0,0.9094048578335443,68,61,56,73,71,66,62,75,75,71,68,78,8.54,10.87,10.87
